Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
23-302-7502,30.0,Female,High,Widowed,High School,high,ALAMEDA,Health Care,$58.51 ,,Online,4.0,4.0,0.5,None,Not Sensitive,0.0,,Medium, Desktop , PayPal ,12/14/2024,True,True,Planned,No Preference,14.0
90-069-8934,40.0,Male,High,Divorced,Master's,High,Dhankutā,Hotels,$109.29 ,3.0,Online,3.0,4.0,0.0,Medium,Somewhat Sensitive,2.0,2.0,High,Desktop,Debit Card,8/11/2024,False,True,Wants-based,Express,11.0
45-073-7243,,Male,High,Single,Bachelor's,High,Jindong,Furniture,$356.45 ,6.0,Mixed,5.0,5.0,"2.0,00",Low,Very Sensitive,0.0,7.0,Medium,Smartphone,Credit Card,10/18/2024,False,True,Planned,Standard,8.0
89-883-2101,38.0, Female ,Middle,Divorced,bachelor's,High,Ngeru,Mobile Accessories,$236.99 ,,Mixed,2.0,4.0,0.0,HIGH,Very Sensitive,0.0,8.0,NONE,Tablet,PayPal,12/9/2024,True,True, Impulsive ,No Preference,13.0
00-477-9449,36.0,Male,Middle,Widowed,Bachelor's,High,White Rock,Packages),$454.39 ,10.0,IN-STORE,N/A,4.0,2.0, Medium ,Not Sensitive,0.0,3.0,None,Desktop,Other,7/23/2024,False,True,Impulsive,Standard,3.0
67-159-7366,29.0,Female,High,WIDOWED,Bachelor's,Middle,Monastyrshchina,Electronics,$490.75 ,,In-Store,2.0,4.0,1.0,None,Very Sensitive,"1.0,00",4.0,Low,Smartphone,Debit Card,7/8/2024,False,False,Wants-based,Standard,13.0
85-691-4293,21.0,Female,Middle,Widowed,High School,Middle,Pangkalanbunut,Software & Apps,$463.07 ,7.0,Mixed,4.0,2.0,0.0,None,Very Sensitive,1.0,,Medium,Smartphone,PayPal,7/23/2024,True,False,Wants-based, No Preference ,11.0
56-085-0464,36.0,Female,High,Married,Master's,High,Lederaba,Baby Products,$56.74 ,5.0,Online,,,0.0,Medium,Very Sensitive,,,None,Smartphone,Other,7/31/2024,True,False,Impulsive,Express,
33-264-2822,38.0,Male,High,divorced,Bachelor's,Middle,Lugo,Toys & Games,$371.32 ,7.0,In-Store,4.0,4.0,0.7,Medium, Not Sensitive ,2.0,1.0,None,TABLET,Debit Card,2/25/2024,True,True,Impulsive,standard,
95-478-2650,37.0,Female,middle,Single,Bachelor's,Middle,São Roque,Software & Apps,$461.00 ,7.0,Online,2.0,4.0,1.0,High,Not Sensitive,0.0,8.0,Low,Tablet,Cash,7/10/2024,False,True,Wants-based,Standard,9.0
04-349-6759,33.0,Female,High,Married,Bachelor's,High,Banī Khaddāsh,Food & Beverages,$253.37 ,6.0,In-Store,4.0,1.0,1.0,None,Very Sensitive,,,High,Tablet,Other,12/25/2024,True,False,Impulsive,standard,8.0
21-755-8745,37.0,Male,High,Widowed,High School,High,Montpellier,Packages),$136.53 ,3.0,Mixed,2.0,4.0,2.0,High,Not Sensitive,1.0,3.0,High,Smartphone,PayPal,5/31/2024,True,True,Planned,Standard,N/A
29-625-7057,31.0,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,$489.05 ,10.0, Online ,5.0,3.0,0.0,high,Somewhat Sensitive,2.0,2.0,High,Desktop,PayPal,9/4/2024,True,True,Planned,Standard,7.0
58-623-8404,50.0,Male,High,Single,MASTER'S,High,Pasirhuni, Electronics ,$81.91 ,10.0,In-Store,3.0,4.0,1.0,Medium,Very Sensitive,0.0,4.0,None,Desktop,Debit Card,7/24/2024,False,True,need-based,Express,2.0
56-506-4709,50.0,Male,Middle,Married,Bachelor's,Middle,Glendale,Arts & Crafts,$135.80 ,2.0,In-Store,,5.0,1.0,Low,Somewhat Sensitive,1.0,,High,Desktop,Debit Card,11/16/2024,False,True,Planned,No Preference,9.0
25-839-8670,45.0,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,$382.24 ,12.0,In-Store,1.0,5.0,1.0,High,Very Sensitive,1.0,,High,Tablet,PayPal,7/6/2024,True,True,Planned,Standard,3.0
89-194-0596,33.0,Female,High,married,Bachelor's,Middle,Marseille,Gardening & Outdoors,$354.70 ,5.0,Online,4.0,,0.0,None,very sensitive,2.0,7.0,None,Smartphone,OTHER,2/10/2024,True,False,Planned,Express,12.0
55-163-1389,24.0,Male,high,Divorced,Bachelor's,High,Nasielsk,mobile accessories,$433.82 ,6.0,Online,3.0,2.0,1.0,Medium,Somewhat Sensitive,,8.0,Medium,Desktop,Other,6/29/2024,False,True,Planned,Express,10.0
28-225-4286,39.0,Genderfluid,High,Married,Bachelor's,Middle,Paris 06,Mobile Accessories,$282.13 ,5.0, Mixed ,4.0,5.0,1.00,None,Somewhat Sensitive,"1.0,00",2.0,None,Tablet,Other,1/26/2024,True,False,Need-based,Standard,9.0
14-305-8712,48.0,Male,High,Widowed,High School,Middle,Bronnitsy,Mobile Accessories,$454.38 ,10.0,Online,3.0,,0.0,None,Somewhat Sensitive,0.0,10.0,Medium,Smartphone,PayPal,6/15/2024,True,False,Impulsive,No Preference,7.0
85-738-6864,25.0,Male,Middle,Married, High School ,High,Inayauan,Mobile Accessories,$138.88 ,, In-Store ,2.0,4.0,1.0,none,Not Sensitive,1.0,,none,Tablet,CASH,6/8/2024,True,False,PLANNED,No Preference,null
17-198-5155,, Female ,High,Single,bachelor's,High,Qianjin,Books,$52.34 ,6.0,In-Store,3.0,4.0,1.0,Low,Somewhat Sensitive,N/A,5.0, Medium ,Tablet,PayPal,5/21/2024,True,True,Planned, Express ,13.0
15-354-9904,34.0,Male,Middle,SINGLE,Bachelor's,High,Bagahanlad,Groceries,$338.20 ,7.0,Online,,5.0,0.0,None, Not Sensitive ,1.0,,Medium, Tablet ,Other,9/1/2024,True,False,Wants-based,Standard,
35-198-9248,21.0,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,$263.15 ,3.0,In-Store,1.0,5.0,1.0,High,SOMEWHAT SENSITIVE,1.0,10.0,High,TABLET,Other,3/4/2024,True,False,Impulsive,Express,$10.0
03-950-6074,36.0,Female,middle,Married,Master's,Middle,Strabychovo,Software & Apps,$371.58 ,2.0,Mixed,2.0,1.0,2.0,High,Not Sensitive,0.0,10.0,None,Smartphone,CASH,9/13/2024,True,True,Wants-based,No Preference,11.0
19-999-0134,30.0,Male,Middle, Widowed ,Bachelor's,Middle,Hongqi,Health Care,$353.40 ,2.0,Online,2.0,3.0,2.0,Medium,VERY SENSITIVE,0.0,1.0,Low,Tablet, Credit Card ,12/6/2024,False,True,Impulsive,no preference,3.0
57-989-1487,46.0,Female,Middle,Divorced,High School,high,OEOH,Software & Apps,$329.41 ,5.0,In-Store,5.0,3.0,0.0,Medium,Somewhat Sensitive,1.0,1.0,High,Desktop,Cash,10/21/2024,True,True,Need-based,No Preference,2.0
07-816-2673,46.0,Female,Middle,Married, Master's ,Middle,Topol’noye,Food & Beverages, $54.46  ,5.0,Online,4.0,5.0,"1.0,00",High,Not Sensitive,$1.0,1.0,low,Tablet,Other,11/17/2024,False,False,Impulsive,Standard,1.0
70-761-3550,,Male,High,Widowed,Master's,Middle,Kovářov,Books,$257.12 ,8.0,Online,2.0,$1.0,, High ,Not Sensitive,2.0,1.0,High,Smartphone,Other,7/24/2024,True,False,Impulsive,No Preference,11.0
38-242-3251,43.0,Male,High, Divorced ,Bachelor's,middle,Majdal Banī Fāḑil,Arts & Crafts,$293.04 ,11.0,In-Store,4.0,2.0,1.0,none,VERY SENSITIVE,1.0,3.0,Low,Desktop,PayPal,3/3/2024,True,False,Planned,Standard,6.0
95-525-0842,,Male,High,Single,Master's,High,Delta del Tigre,Books,$110.40 ,12.0,Mixed,5.0,1.0,2.0,None,Somewhat Sensitive,1.0,3.0,Medium,Tablet,Debit Card,11/13/2024,False,False,Need-based,Standard,
37-101-4922,42.0,Female,Middle,Married,Master's,High,Santa Cruz La Laguna,Mobile Accessories,$76.27 ,4.0,In-Store,2.0,3.0,0.0,None,Not Sensitive,,8.0,Medium,SMARTPHONE,CREDIT CARD,12/24/2024,True,False,Wants-based,standard,10.0
37-128-5425,"40.0,00",Female,High,Widowed,Bachelor's,Middle,Manchester,toys & games,$392.08 ,6.0,Online,2.0,5.0,1.0,None,Very Sensitive,2.0,,High,Tablet,Other,8/4/2024,True,True,Need-based,express,
27-439-9545,25.0,Female, High ,Married,Bachelor's,High,Norrköping,TOYS & GAMES,$51.22 ,6.0,Online,2.0,1.0,0.0,None,Very Sensitive,"1.0,00",5.0,Medium,Tablet,Cash,8/25/2024,True,True,Planned,Standard,
37-126-7954,38.0,Male,Middle,Divorced,Bachelor's,High,Sośno,CLOTHING,$227.57 ,2.0, Online ,1.0,2.0,0.0, High ,Somewhat Sensitive,1.0,6.0,None,Tablet,PayPal,8/17/2024,False,True,Wants-based,No Preference,14.0
82-990-0504,46.0,Female,Middle,Widowed,bachelor's,Middle,Pélla,GROCERIES,$378.87 ,7.0,Online,1.0,2.0,0.0,None,Very Sensitive,1.0,,low,Tablet,PayPal,4/1/2024,True,False,planned,No Preference,5.0
21-734-0212,24.0,Female,Middle,Widowed, High School ,High,Namur,Beauty & Personal Care,$423.92 ,,Mixed,3.0,1.0,null,Low,Somewhat Sensitive,0.0,9.0, High ,Tablet,Credit Card,8/24/2024,False,True,NEED-BASED,Standard,8.0
76-148-9413,43.0,Non-binary,High,Widowed,Master's, Middle ,Benevides,Arts & Crafts,$111.24 ,,Mixed,5.0,2.0,0.0,Medium,Somewhat Sensitive,0.0,null,High,Smartphone,Credit Card,8/6/2024,True,False,Need-based,No Preference,12.0
53-639-3774,,Female,Middle,Single,Bachelor's,Middle, Qinghaihu ,Travel & Leisure (Flights,$299.31 ,7.0,Mixed,2.0,4.0,1.0,Medium,Very Sensitive,2.0,,None,Desktop,DEBIT CARD,2/1/2024,True,False,Need-based,Express,3.0
20-817-9584,42.0,Male,Middle,widowed,Master's,Middle,Alfeizerão,Animal Feed,$169.28 ,,Mixed,4.0,4.0,1.0,None, Somewhat Sensitive ,2.0,1.0,Low,Tablet,Cash,6/17/2024,True,True,Impulsive,No Preference,6.0
18-655-3670,,Male,Middle,Widowed,High School,High,Prostřední Bečva, Office Supplies ,$449.13 ,9.0,In-Store,,1.0,0.5,Medium,Not Sensitive,2.0,2.0,Low,Tablet,Credit Card,6/12/2024,False,False,Planned,No Preference,14.00
72-431-5021,35.0,FEMALE,High,Married,Master's,high,Oeiras,ANIMAL FEED,$427.48 ,6.0,Online,4.0,2.0,0.0,Medium,Not Sensitive,1.0,1.0,Low,Smartphone,debit card,12/16/2024,True,False,Impulsive,Standard,11.0
07-479-3919,27.0,Female,Middle,Single,High School,High,Kýthnos,Sports & Outdoors,$171.61 ,3.0,Online,3.0,1.0,,Low,Very Sensitive,,, High ,DESKTOP,CREDIT CARD,10/31/2024,True,False,planned, Express ,8.0
17-032-6274,40.0,Female,High,Married,Bachelor's,High,Rizal,Books, $240.28  ,3.0,Online,3.0,5.0,2.0,High,Not Sensitive,2.0,7.0,Medium,Tablet,Cash,12/7/2024,True,True,Impulsive,Standard,4.0
64-166-9097,34.0,Female,High,Single,High School,High,Fullerton,furniture,$310.17 ,6.0,In-Store,2.0,3.0,2.0,Medium,Very Sensitive,0.0,,None,Smartphone,Debit Card,2/24/2024,False,False,Wants-based,no preference,13.0
39-499-3854,25.0,Female,Middle,Married,Bachelor'S,MIDDLE,Huaidao,Hotels,$166.00 ,10.0,Online,"5.0,00",3.0,0.0,High,Not Sensitive,2.0,,MEDIUM,Smartphone,PayPal,6/11/2024,False,False,Impulsive,Express,5.0
39-636-5871,38.0,Male,High,Divorced,Bachelor's,high,Bilice,baby products,$362.01 ,2.0,In-Store,2.0,4.0,,None,Somewhat Sensitive,2.0,1.0,Medium,Tablet,Debit Card,11/24/2024,False,False,Impulsive,Express,1.0
71-667-2334,33.0,Polygender,High,Married,Bachelor's,Middle,Isla Verde, Travel & Leisure (Flights ,$348.50 ,3.0,Mixed,2.0,3.0,2.0,None,Not Sensitive,0.0,6.0,Medium,Smartphone,Debit Card,7/9/2024,False,False,Planned,No Preference,8.0
35-192-9050,null,Female,Middle,Married,Bachelor's,High,Hunkuyi,Animal Feed,$395.97 ,9.0,In-Store,1.0,4.0,0.0,Medium,Very Sensitive,1.0,,Low,Tablet,Debit Card,8/18/2024,True,True,Wants-based,Standard,1.0
91-440-0011,50.0,female,Middle,Widowed,High School,Middle,Shiree,Sports & Outdoors,$474.99 ,9.0, Online ,2.0,4.0,1.0,none,Somewhat Sensitive,0.0,8.0,High,Desktop,Credit Card,7/10/2024,True,False,Planned,Standard,5.0
20-830-4758,35.0,Female,Middle,Widowed,High School,Middle,Strezhevoy,Luxury Goods,$286.43 ,4.0,Mixed,1.0,,,High,Very Sensitive,2.0,,None,Desktop,Cash,7/12/2024,True,False,Wants-based,Express,14.0
84-337-1016,19.0, Genderfluid , High ,Widowed,high school,High,Longxing,health care,$333.32 ,8.0,Online,null,5.0,0.0,Low,Very Sensitive,0.0,3.0,High,Smartphone,Credit Card,10/5/2024,True,False,planned,No Preference,3.0
09-346-4992,$46.0,BIGENDER,High,Single,Master's,High,Jesús Menéndez,Electronics,$223.47 ,9.0,Mixed,2.0,1.0,1.0,High,Somewhat Sensitive,0.0,2.0,None,TABLET,Debit Card,9/20/2024,True,True,Need-based,Standard,8.0
75-083-3608,23.0,MALE,Middle,Divorced,Master's,Middle,Hongguang,Sports & Outdoors, $414.83  ,2.0,Mixed,2.0,4.0,,High,Somewhat Sensitive,2.0,4.0,High,Desktop,CREDIT CARD,7/16/2024,False,False,Planned,Express,8.0
29-779-7209,34.0,Female,High,Widowed,Master's,High,Pilaya,books,$391.38 ,5.0, In-Store ,5.0,2.0,2.0,Low,Not Sensitive,0.00,7.0,Low,Tablet,other,4/2/2024,False,False,Need-based,NO PREFERENCE,8.0
12-409-5166,48.0,Male,Middle,Divorced,Bachelor's,High,Camp Ithier,Furniture,$368.40 ,11.0,Online,2.0,5.0,1.0,High,Not Sensitive,0.0,3.0,High,desktop,Credit Card,6/21/2024,False,False,Need-based,NO PREFERENCE,13.0
07-024-4995,27.0,BIGENDER,Middle,Widowed,High School,Middle,Holboo,Furniture,$328.36 ,11.0,In-Store,1.0,4.0,2.0,High,Very Sensitive,0.0,4.0,None,Tablet,Cash,3/11/2024,False,True,Wants-based,Express,null
74-478-5950,37.0,Female, Middle ,Divorced,Bachelor's,Middle,LUXI,Home Appliances,$424.39 ,9.0,Mixed,3.0,,1.0,High,Somewhat Sensitive,0.0,7.0,Low,Smartphone,Credit Card,2/26/2024,True,False,Wants-based,NO PREFERENCE,13.0
31-395-1286,,male,High,MARRIED,High School, High ,Ostashkov,Health Supplements,$197.12 ,10.0,In-Store,4.0,4.00,0.0,Low,SOMEWHAT SENSITIVE,1.0,1.0,Medium,Tablet,Other,6/14/2024,True,True,Wants-based,Standard,10.0
60-838-4334,45.0,Male,High,Single, Bachelor's ,High,HONGSHANZUI,Books,$454.57 ,9.0,Mixed,2.0,5.0,1.0,Low,Somewhat Sensitive,0.0,1.0,Medium,Smartphone,Debit Card,3/24/2024,True,True,Wants-Based,Express,1.0
71-197-8227,, Male ,Middle,Divorced,High School,High,Tocoa,Electronics,$298.38 ,4.0,Mixed,3.0,,,High,Very Sensitive,,2.0,Low,Tablet,CASH,4/27/2024,False,True,Need-based,Standard,
15-530-3861,,Male,High,Divorced,High School, High ,Bayan Tuohai,Clothing,$111.70 ,6.0,Online,4.0,,0.0,Medium,Somewhat Sensitive,2.0,5.0,High,Tablet,Credit Card,11/7/2024,False,False,Planned,Standard,7.0
30-567-4471,34.0,Male,Middle,Married,Bachelor's,Middle,Parumasan,Clothing,$373.69 ,10.0,online,3.0,2.0,2.0,Medium,Not Sensitive,1.0,8.0,None,Tablet,CREDIT CARD,12/4/2024,False,True,Impulsive,Express,14.0
04-465-1819,37.0,MALE, High ,Widowed,Master's,Middle,Karpogory,Jewelry & Accessories,$354.87 ,5.0,In-Store,,$1.0,0.0,None,not sensitive,2.0,4.0,None,Desktop,Cash,4/18/2024,False,True,Planned,Express,12.0
69-692-0614,,Female,Middle,Widowed, Bachelor's ,High, Shāhzādpur ,Mobile Accessories,$214.48 ,2.0,Online,4.0,,2.0,None,Very Sensitive,1.0,3.0,None,tablet,Cash,4/21/2024,True,True,WANTS-BASED,Express,2.0
12-839-8066,20.0,Male,High,Divorced,Bachelor's,Middle,Muaratiga,Software & Apps,$399.58 ,6.0,In-Store,3.0,4.0,0.0,None,Very Sensitive,1.0,8.0,Low, Tablet , Other ,9/25/2024,True,False,Need-based,Standard,7.0
05-465-8765,27.0,Female,High,Widowed,High School,Middle,Gjegjan,Luxury Goods,$380.99 ,,Mixed,,"2.0,00",1.0,Low,Somewhat Sensitive,0.0,1.0,Medium,DESKTOP,Cash,12/9/2024,True,True,Need-based,NO PREFERENCE,8.0
81-580-3810,36.0,Male,Middle,Married,HIGH SCHOOL, High ,Créteil,Food & Beverages,$79.00 ,10.0,Online,1.0,2.0,1.0,medium,Very Sensitive,2.0,6.0,Low,Smartphone,Cash,9/14/2024,False,True, Planned ,Standard,7.0
74-353-6312,46.0,Female,middle,Married,Bachelor's,Middle,Pameungpeuk,Groceries,$113.88 ,,Online,$5.0,2.0,,Medium,Not Sensitive,2.0,4.0,High,Tablet,PayPal,3/29/2024,False,False,Wants-based,Express,9.0
 78-824-1887 ,,Male,Middle,Married,High School,Middle,Junshan,Travel & Leisure (Flights,$121.57 ,4.0,Mixed,1.0,5.0,,High,Not Sensitive,0.0,4.0,High,Desktop,Other,6/6/2024,False,True,Impulsive,No Preference,13.0
31-218-0024,21.0,Female, High ,Divorced, High School ,Middle,Lewotola,Health Supplements,$215.54 ,11.0,Online,null,1.0,2.0,Low,Somewhat Sensitive,2.0,6.0,high,desktop,Credit Card,4/8/2024,True,True,planned,No Preference,10.0
15-711-4107,43.0,Male,High,Married,Bachelor's,high,Laocheng,furniture,$87.03 ,10.0,Mixed,1.0,1.0,0.0,Low,Very Sensitive,1.0,,High,Desktop,PayPal,8/11/2024,False,True,Need-based,No Preference,7.0
76-672-1193,19.0,Male,High,Divorced,High School,High,Guacarí, Travel & Leisure (Flights ,$111.75 ,4.0,In-Store,1.0,4.0,0.0,High,Not Sensitive,1.0,6.0,High,Tablet,Debit Card,10/10/2024,False,True,Impulsive,Standard,8.0
46-503-5589,41.0,Female,High,Widowed,Master's,High,Sancang,Office Supplies,$136.20 ,2.0,Mixed,3.00,2.0,2.0,Low,Not Sensitive,,1.0,High,Tablet,PayPal,6/15/2024,True,True,Need-based, Express ,9.0
87-499-6916,48.0,Male, Middle ,Married,High School,Middle,Ndewel,Food & Beverages,$439.31 ,,In-Store,,,$1.0,Medium,Very Sensitive,0.0,6.0,Medium,Smartphone,Debit Card,8/11/2024,False,True,Wants-based,No Preference,7.0
30-520-8656,19.0,female,Middle,Married,Bachelor's,Middle,San Patricio,Health Care,$194.93 ,,Online,4.0,4.0,1.0,High,Somewhat Sensitive,0.0,4.0,None,Tablet,Other,3/28/2024,True,True,Impulsive, No Preference ,5.0
36-323-3504,29.0,Male,Middle,Widowed, Master's ,High,Fengtai,Food & Beverages,$377.67 ,,Online,5.0,3.0,,None,Very Sensitive,2.0,,high,Desktop,PayPal,5/13/2024,True,False,Need-Based,No Preference,14.0
93-810-4051,26.0,Agender,High,Single,Master's,High,Ḑawrān ad Daydah,beauty & personal care,$108.61 ,10.0,In-Store,3.0,2.0,0.0, None ,Very Sensitive,0.0,3.0,Low,Smartphone,Cash,11/23/2024,True,True,Need-based, No Preference ,14.0
66-515-3648,20.0,Female,Middle,Married,Bachelor's,Middle,Magdalena,Health Care, $366.77  ,7.0,Mixed,4.0,3.0,2.0,Low,Not Sensitive,0.0,9.0,None,Smartphone,Debit Card,9/18/2024,False,False,Impulsive,Standard,
09-216-1957,31.0,Female,High,Divorced,Master's,Middle,Leśnica,Jewelry & Accessories,$178.04 ,5.0,In-Store,,1.0,2.0,Medium,Somewhat Sensitive,0.0,5.0,High,Tablet,credit card,7/16/2024,False,False,Need-based,no preference,
23-253-2565,23.0,Female,High,Divorced, High School ,High,Hinlayagan Ilaud,Toys & Games,$461.09 ,8.0,Online,4.0,1.0,0.0,Medium, Somewhat Sensitive ,0.0,4.0,Medium,Smartphone,Debit Card,8/3/2024,True,False, Need-based ,No Preference,8.0
 74-509-4985 ,19.0,Female, High ,Single,High School,Middle,Forshaga,Hotels,$211.16 ,5.0,In-Store,,3.0,1.0,High,Very Sensitive,0.0,3.0,None,Smartphone,PayPal,6/28/2024,False,False,Planned,Standard,2.0
05-857-1572,23.0,Female,Middle,Widowed,Bachelor's,High, Rakszawa ,Animal Feed,$421.95 ,8.0,Mixed,3.0,5.0,0.0,Medium,Not Sensitive,1.0,1.0,None,Smartphone,Other,3/18/2024,False,True,Need-based,No Preference,7.0
26-521-8328,49.0,Female, Middle ,Divorced,Bachelor's, High ,Fengjiang,Furniture,$378.59 ,5.0,Online,null,1.0,"0.0,00",None,Somewhat Sensitive,0.0,4.0,High,Desktop,Other,10/15/2024,False,False,Wants-based,No Preference,14.0
31-147-6197,23.0,non-binary,High,Divorced,High School,High,Jiangcun,office supplies,$268.93 ,2.0,Mixed,5.0,5.0,1.0,Medium,Very Sensitive,1.0,"3.0,00",None,Tablet,Debit Card,11/23/2024,False,False,Impulsive,Express,8.0
 90-093-0469 ,42.0,Male,MIDDLE,Divorced,Bachelor's,High,Ōkuchi,Health Care,$444.87 ,11.0,Online,5.0,4.0,0.0,Medium,Not Sensitive,1.0,8.0,Low,Desktop,Other,11/29/2024,False,False,Wants-based,No Preference,7.0
 38-935-1865 ,18.0,Female,High,Widowed,Bachelor's,High,Novoukrainskiy,Beauty & Personal Care,$160.82 ,7.0,In-Store,,1.0,1.0,High,Somewhat Sensitive,0.0,1.0,High,Smartphone,Cash,7/9/2024,True,True,Wants-based,No Preference,3.0
75-953-8663,35.0,Male,High,Single,master's,Middle,Acobambilla,Hotels,$494.18 ,6.0,Mixed,4.0,5.0,,Medium,Not Sensitive,1.0,2.0,None,Desktop,CASH,8/3/2024,False,False,need-based,Standard,14.0
38-478-2681,22.0,MALE,Middle,Single,Bachelor's,Middle,Kyonju,HOME APPLIANCES,$177.05 ,5.0,Online,3.0,,1.0,None,Somewhat Sensitive,2.0,1.0,Low,Tablet,Cash,12/4/2024,True,True,Impulsive,Standard,1.0
70-895-5298,28.0,Female,MIDDLE,Married,Master's,HIGH,Pomar,Food & Beverages,$450.66 ,7.0,In-Store,2.0,5.0,0.0,High,Somewhat Sensitive,2.0,4.0,Medium,Tablet,CREDIT CARD,6/13/2024,False,True,Need-based,No Preference,9.0
02-653-5884,42.0,Female,high,married,Bachelor'S,Middle,Zalţan,Arts & Crafts,$164.27 ,6.0,Online,,3.0,2.0,High,Not Sensitive,2.0,7.0, Low ,Desktop,PayPal,7/13/2024,True,False, Wants-based ,No Preference,14.0
11-719-8800,37.0,Female,MIDDLE,Widowed,Master's,High,Trélazé,Food & Beverages,$346.36 ,12.0,Mixed,4.0,5.0,0.0,Medium,Somewhat Sensitive,0.0,$7.0,Medium,Smartphone,Credit Card,9/4/2024,False,False,Need-based,Standard,14.0
